"Dep. Min. of National Defense & Chief of Staff, People's National Army",Ahmad GAID-SALAH,#NAME?
Min. of National Education,Nouria BENGHEBRIT,#NAME?
"Min. of National Solidarity, Family, & Women's Affairs",Ghania EDDALIA,#NAME?
"Min. of Post, Information Technologies, & Communications",Iman Houda FERAOUN,#NAME?
Min. of Public Works & Transport,Abdelghani ZAALANE,#NAME?
Min. of Relations With the Parliament,Mahdjoub BEDDA,#NAME?
Min. of Religious Affairs & Endowments,Mohamed AISSA,#NAME?
Min. of Tourism & Handicrafts,Abdelkader BENMESSAOUD,#NAME?
Min. of Vocational Training & Education Professionals,Mohamed MEBARKI,#NAME?
Min. of War Veterans (Moudjahidine),Tayeb ZITOUNI,#NAME?
Min. of Water Resources,Hocine NECIB,#NAME?
Min. of Youth & Sports,Mohamed HATTAB,#NAME?
Sec. Gen. of the Govt.,Ahmed NOUI,#NAME?
"Governor, Central Bank",Mohamed LOUKAL,#NAME?
Ambassador to the US,Madjid BOUGUERRA,#NAME?
"Permanent Representative to the UN, New York",Sabri BOUKADOUM,#NAME?
,Andorra,Andorra
,Last Updated:  12 Jul 2017,Last Updated:  12 Jul 2017
Head of State (Co-Prince),Emmanuel MACRON,#NAME?
Head of State (Co-Prince),"Joan-Enric VIVES i SICILIA, Bishop",#NAME?
Head of Govt.,Antoni MARTI Petit,#NAME?
Min. of Civil Service & Admin. Reform,Eva DESCARREGA Garcia,#NAME?
"Min. of Culture, Youth, & Sports",Olga GELABERT FABREGA,#NAME?
Min. of Education & Higher Education,Eric JOVER COMAS,#NAME?
"Min. of Environment, Agriculture, & Sustainability",Silvia CALVO ARMENGOL,#NAME?
Min. of Finance,Jordi CINCA Mateos,#NAME?
Min. of Foreign Affairs,Gilbert SABOYA Sunye,#NAME?
Min. of Health,Carles ALVAREZ MARFANY,#NAME?
"Min. of Social Affairs, Justice, & Interior",Xavier ESPOT Zamora,#NAME?
Min. of Territorial Planning,Jordi TORRES FALCO,#NAME?
Min. of Tourism & Commerce,Francesc CAMP Torres,#NAME?
Ambassador to the US,Elisenda VIVES BALMANA,#NAME?
"Permanent Representative to the UN, New York",Elisenda VIVES BALMANA,#NAME?
,Angola,Angola
,Last Updated:  21 Jun 2018,Last Updated:  21 Jun 2018
Pres.,Joao Manuel Goncalves LOURENCO,#NAME?
Vice Pres.,Bornito De Sousa Baltazar DIOGO,#NAME?
Min. of Agriculture,Marcos Alexandre NHUNGA,#NAME?
Min. of Commerce,Joffre Van-Dunem JUNIOR,#NAME?
Min. of Culture,Carolina CERQUEIRA,#NAME?
Min. of Economy,Pedro Luis DE FONSECA,#NAME?
Min. of Education,Maria Candida TEIXEIRA,#NAME?
Min. of Energy & Water,Joao Baptista BORGES,#NAME?
Min. of Environment,Paula Cristina Francisco COELHO,#NAME?
Min. of External Relations,Manuel Domingos AUGUSTO,#NAME?
Min. of Family & Women Promotion,Victoria Francisco Correia CONCEICAO,#NAME?
Min. of Finance,Augusto Archer de Sousa MANGUEIRA,#NAME?
Min. of Fisheries,Victoria Christopher Francisco Lopes de Barros NET,#NAME?
Min. of Former Combatants & Veterans of War,Joao Ernesto DOS SANTOS,#NAME?
Min. of Health,Silvia Paula Valentim LUTUCUTA,#NAME?
Min. of Higher Education,Maria Do Rosario Braganca SAMBO,#NAME?
Min. of Hotels & Tourism,Maria Angela Teixeira De Alva Sequeira BRAGANCA,#NAME?
Min. of Industry,Bernarda Goncalves Martins Henriques DA SILVA,#NAME?
Min. of Interior,Angelo de Barros Veiga TAVARES,#NAME?
Min. of Justice & Human Rights,Francisco Manuel Monteiro DE QUEIROZ,#NAME?
Min. of Mineral Resources and Petroleum,Diamantino Pedro AZEVEDO,#NAME?
Min. of National Defense,Salviano de Jesus SEQUEIRA,#NAME?
Min. of Parliamentary Affairs,Rosa Luis de Sousa MICOLO,#NAME?
Min. of Planning,Ana Paula Chantre Luna DE CARVALHO,#NAME?
"Min. of Public Admin., Employment, & Social Security",Antonio Rodrigues Afonso PAULO,#NAME?
Min. of Science & Technology,Maria Candida TEIXEIRA,#NAME?
Min. of Social Communication,Anibal Joao Da Silva MELO,#NAME?
Min. of State & Head of the Security House of the Pres. of the Republic,Pedro SEBASTIAO,#NAME?
Min. of Telecommunications & Information Technology,Jose Carvalho DA ROCHA,#NAME?
Min. of Territorial Admin.,Ana Paula Chantre Luna DE CARVALHO,#NAME?
Min. of Transport,Ricardo Daniel Sandao Viegas de ABREU,#NAME?
Min. of Urbanism & Housing,Jose Antonio Maria DA CONCEICAO E SILVA,#NAME?
Min. of Welfare & Social Reintegration,Joao Baptista KUSSUMUA,#NAME?
Min. of Youth & Sports,Ana Paula Sacramento NETO,#NAME?
"Min. in the Office of the Presidency, Civil Affairs",Frederico Manuel Dos Santos e Silva CARDOSO,#NAME?
Min. of State for Economic and Social Development,Manuel Jose Nunes JUNIOR,#NAME?
Sec. of the Council of Ministers,Frederico Manuel dos Santos e Silva CARDOSO,#NAME?
"Governor, National Bank of Angola",Jose de Lima MASSANO,#NAME?
Attorney Gen.,Helder Fernando Pitta GROS,#NAME?
Ambassador to the US,Agostinho NETO,#NAME?
"Permanent Representative to the UN, New York",Maria de Jesus dos Reis FERREIRA,#NAME?
